indexname,indexdef
ix_payment_settlements_intent_id,CREATE INDEX ix_payment_settlements_intent_id ON public.payment_settlements USING btree (intent_id)
ix_payment_settlements_invoice_id,CREATE INDEX ix_payment_settlements_invoice_id ON public.payment_settlements USING btree (invoice_id)
ix_payment_settlements_merchant,CREATE INDEX ix_payment_settlements_merchant ON public.payment_settlements USING btree (merchant)
ix_payment_settlements_status,CREATE INDEX ix_payment_settlements_status ON public.payment_settlements USING btree (status)
ix_sanctions_address_active,"CREATE INDEX ix_sanctions_address_active ON public.sanctions_list USING btree (address, is_active)"
ix_sanctions_list_address,CREATE INDEX ix_sanctions_list_address ON public.sanctions_list USING btree (address)
ix_settlement_chain_status,"CREATE INDEX ix_settlement_chain_status ON public.payment_settlements USING btree (chain_id, status)"
ix_settlement_invoice,"CREATE INDEX ix_settlement_invoice ON public.payment_settlements USING btree (invoice_id, chain_id)"
ix_settlement_merchant_created,"CREATE INDEX ix_settlement_merchant_created ON public.payment_settlements USING btree (merchant, created_at)"
ix_transaction_logs_fiscal_ref,CREATE UNIQUE INDEX ix_transaction_logs_fiscal_ref ON public.transaction_logs USING btree (fiscal_ref)
ix_transaction_logs_tx_hash,CREATE UNIQUE INDEX ix_transaction_logs_tx_hash ON public.transaction_logs USING btree (tx_hash)
ix_tx_currency_date,"CREATE INDEX ix_tx_currency_date ON public.transaction_logs USING btree (currency, tx_timestamp)"
ix_tx_status_date,"CREATE INDEX ix_tx_status_date ON public.transaction_logs USING btree (status, tx_timestamp)"
ix_user_api_keys_key_prefix,CREATE INDEX ix_user_api_keys_key_prefix ON public.user_api_keys USING btree (key_prefix)
ix_user_api_keys_org_id,CREATE INDEX ix_user_api_keys_org_id ON public.user_api_keys USING btree (org_id)
ix_user_api_keys_user_id,CREATE INDEX ix_user_api_keys_user_id ON public.user_api_keys USING btree (user_id)
ix_user_contacts_user_id,CREATE INDEX ix_user_contacts_user_id ON public.user_contacts USING btree (user_id)
ix_user_routes_user_id,CREATE INDEX ix_user_routes_user_id ON public.user_routes USING btree (user_id)
ix_user_transactions_user_id,CREATE INDEX ix_user_transactions_user_id ON public.user_transactions USING btree (user_id)
ix_user_wallets_org_id,CREATE INDEX ix_user_wallets_org_id ON public.user_wallets USING btree (org_id)
ix_user_wallets_user_id,CREATE INDEX ix_user_wallets_user_id ON public.user_wallets USING btree (user_id)
ix_users_email,CREATE INDEX ix_users_email ON public.users USING btree (email)
ix_users_github_sub,CREATE UNIQUE INDEX ix_users_github_sub ON public.users USING btree (github_sub)
ix_users_google_sub,CREATE UNIQUE INDEX ix_users_google_sub ON public.users USING btree (google_sub)
known_devices_pkey,CREATE UNIQUE INDEX known_devices_pkey ON public.known_devices USING btree (id)
memberships_pkey,CREATE UNIQUE INDEX memberships_pkey ON public.memberships USING btree (id)
merchant_profiles_pkey,CREATE UNIQUE INDEX merchant_profiles_pkey ON public.merchant_profiles USING btree (id)
merchant_webhooks_pkey,CREATE UNIQUE INDEX merchant_webhooks_pkey ON public.merchant_webhooks USING btree (id)
notification_preferences_pkey,CREATE UNIQUE INDEX notification_preferences_pkey ON public.notification_preferences USING btree (user_id)
org_invites_pkey,CREATE UNIQUE INDEX org_invites_pkey ON public.org_invites USING btree (id)
